0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:15 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:15 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:16 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:16 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:16 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:26 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:27 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:28 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:30 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:31 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:31 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:31 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:31 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:31 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
